DEPTH,CARB_FLAG,COAL_FLAG,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,SAND_FLAG,depth_m,OBG,OBG_inc,NCL,Mud,PP-3,PP-2.5,PP-2
1373.2764,,,142.920196,124.971397,0.4307,1.09399998,1.65559995,6.94799995,1.35370004,0.90839999,,1373.2764,0.35863134893419835,3611.245592864595,148.74297223200574,1950.3820743359997,1739.001354458168,1776.0131558649312,1812.2932827309098
1373.4288,,,142.577606,124.503799,0.43619999,1.12329995,1.69910001,7.33949995,1.30439996,0.92419999,,1373.4288,0.36805420811978756,3611.6136470727147,148.73651719634196,1950.5985189119997,1725.914273803913,1765.3687331073022,1803.9976873588316
1373.5812,,,143.852905,122.578201,0.4582,1.14030003,1.74310004,7.72809982,1.40699994,0.92449998,,1373.5812,0.3775853693837422,3611.9912324420984,148.73006221102088,1950.814963488,1776.0613638686889,1806.414182771904,1836.2651885987366
1373.7336,,,142.239898,126.154296,0.42230001,1.13670003,1.72959995,8.02719974,1.56980001,0.9627,,1373.7336,0.3746610183124384,3612.365893460411,148.72360727604254,1951.031408064,1713.332876666516,1755.188980250468,1796.1225441040742
1373.886,,,145.468902,130.005493,0.43200001,1.15719997,1.70669996,8.06540012,1.70959997,0.981,,1373.886,0.3697004876575059,3612.7355939480685,148.71715239140693,1951.24785264,1837.443405456896,1856.938232705397,1876.218983481353
1374.0384,,,146.440902,131.546005,0.46619999,1.13540005,1.70420002,8.13879966,1.47829997,0.97820001,,1374.0384,0.3691589577701351,3613.1047529058383,148.71069755711403,1951.4642972159995,1872.9955497557874,1886.3263979321537,1899.5551194645252
1374.1908,,,147.552307,128.795104,0.40839999,1.14139997,1.75300002,8.30000019,1.44649994,0.95209997,,1374.1908,0.3797298748736232,3613.484482780712,148.70424277316386,1951.680741792,1912.4551631577435,1919.0564746713785,1925.6321679824362
1374.3432,,,146.896499,122.275596,0.36939999,1.13279998,1.79089999,8.84910011,1.43760001,0.94739997,,1374.3432,0.38793965850261247,3613.8724224392145,148.69778803955643,1951.897186368,1890.0054979791335,1900.4785651593425,1910.8880049593836
1374.4956,,,150.504394,122.275596,0.4104,1.11440002,1.79219996,9.65890026,1.6092,0.92309999,,1374.4956,0.38822125430398596,3614.260643693519,148.69133335629172,1952.1136309439999,2011.4623814237004,2001.7201673674028,1991.918737664974
1374.648,,,144.303604,124.366302,0.4871,1.11430001,1.76619994,13.0942001,1.80239999,0.92070001,,1374.648,0.38258920397388274,3614.6432328974925,148.68487872336974,1952.3300755199998,1796.275492999752,1823.266598364674,1849.8570588254684
