Days	Qgas_mmscf	Whp_psig	
397	0.9681855	4337.904	
398	0.967959	4332.212	
399	0.9681465	4325.065	
400	1.0018005	4317.07	
401	0.9881835	4309.117	
402	0.9742065	4306.656	
403	0.988848	4295.077	
404	0.9596805	4287.591	
405	0.987231	4281.975	
406	0.9702255	4276.904	
407	0.96606	4272.862	
408	0.9678915	4267.82	
409	0.9658575	4263.312	
410	0.953034	4258.471	
411	0.9751365	4253.667	
412	0.9803895	4248.963	
413	0.9679395	4243.812	
414	0.95421	4238.566	
415	0.965601	4233.929	
416	0.9609075	4228.995	
417	0.955722	4224.225	
418	0.9615825	4219.503	
419	0.9584145	4213.698	
420	0.9508335	4209.701	
421	0.9243735	4204.238	
422	0.9459495	4199.025	
423	0.965067	4195.021	
424	0.9457905	4191.058	
425	0.9385785	4187.319	
426	0.9468855	4182.715	
427	0.9605385	4178.733	
428	0.9393225	4174.943	
429	0.934695	4168.854	
430	0.9053205	4165.647	
431	0.919209	4220.78	
432	0.942663	4184.72	
433	0.942831	4173.809	
434	0.8779695	4226.314	
435	0.946242	4178.018	
436	0.9154215	4159.294	
437	0.9320265	4153.926	
438	0.8007165	4145.273	
439	0.7998375	4139.687	
440	0.1297305	3938.741	
441	0	3642.338	
442	0	4373.373	
443	0	4769.663	
444	0	4952.628	
445	0	5021.474	
446	0.764079	4419.376	
447	1.018854	4647.024	
448	0.9379635	4498.669	
449	0	4363.95	
450	0.139761	3540.16	
451	0	1376.849	
452	0	1433.108	
453	0	1550.02	
454	0.526482	3789.944	
455	0.8364705	4351.819	
456	0.800766	4257.771	
457	0.8735625	4315.649	
458	0.912669	4322.164	
459	0.918687	4342.221	
460	0.1756785	4275.637	
461	0.79131	4363.005	
462	0.954651	4477.808	
463	0.94857	4447.33	
464	0.999885	4438.417	
465	0.9476385	4434.86	
466	0.949758	4435.9	
467	0.9712485	4442.114	
468	0.977292	4446.651	
469	0.9886335	4451.915	
470	0.9809325	4458.885	
471	0.9775605	4465.77	
472	0.9952935	4484.092	
473	0.987963	4479.898	
474	0.91176	4524.697	
475	0.9815235	4526.638	
476	0.9795705	4575.147	
477	1.017159	4529.475	
478	1.040835	4531.033	
479	1.021893	4535.713	
480	1.041891	4538.823	
481	1.0265985	4543.464	
482	1.0330245	4548.101	
483	1.05006	4552.261	
484	1.056213	4554.226	
485	1.043412	4558.454	
486	1.0305705	4559.812	
487	0	4561.23	
